SVN	EEFSU	19.067131904	1927	1964	1984	1999	2001	1972	1901	1694	1251.33588272785
SWE	W-OECD	239.567683584	8559	8827	8868	9038	9242	9652	10012	10481	9772.62896551724
SWZ	AFRICA	1.388703232	865	959	1058	1125	1160	1218	1264	1360	1355.69620253165
SYR	ME	18.042793984	12721	14610	16511	18894	21428	25573	29294	34887	35742.4838766314
TCD	AFRICA	1.3902752	6113	7151	8465	10146	11715	15336	19799	29395	40117.1795023463
TGO	AFRICA	1.3291104	3961	4516	5403	6239	7122	8984	10856	14050	16139.5952023988
THA	SEA	122.725244928	54291	57523	60666	63003	65125	67990	69218	67376	61494.9464315832
TJK	EEFSU	0.980013504	5303	5772	6173	6550	7062	8342	9434	10760	10071.729480737
TKM	EEFSU	2.852720128	3668	4193	4502	4833	5163	5811	6270	6780	6459.92573929187
TON	SEA	0.153462048	95	97	98	99	102	108	115	123	124.008196721311
TTO	LA	8.154315776	1224	1270	1301	1324	1348	1393	1400	1325	1140.52006552007
TUN	AFRICA	19.468374016	8219	8975	9564	10105	10664	11712	12529	13178	11647.1963994723
TUR	W-OECD	199.267319808	57345	62736	68158	72970	77703	86070	92468	98946	91419.7113104676
TZA	AFRICA	9.079262208	25494	29902	33849	38478	43542	54479	65516	85077	94371.0639830999
UGA	AFRICA	5.926505984	17841	21235	24690	28947	34040	46749	61548	92935	150408.197398497
UKR	EEFSU	31.261528064	51536	51016	48854	46918	45170	41679	38053	30937	23511.8861381461
URY	LA	20.670509056	3106	3218	3318	3326	3374	3495	3590	3641	3462.83091085271
USA	USA	9764.800036864	256098	270245	284857	299846	314692	342547	366187	402415	430437.684153219
UZB	EEFSU	13.760374784	20515	22918	24724	26593	28580	32481	35199	38386	34885.1984240309
VCT	LA	0.335185184	109	113	116	119	122	125	124	106	93.6744186046512
VEN	LA	117.147615232	19731	22078	24402	26726	29045	33415	37149	42049	41060.571921501
VNM	CPA	31.172517888	66173	73330	79094	85029	90845	101656	110429	119971	112284.04061414
VUT	SEA	0.24455968	149	172	190	215	243	299	356	454	502.009195402299
WSM	SEA	0.230901296	161	168	177	184	192	204	217	215	249.704724409449
YEM	ME	9.438454784	12314	15523	18182	21096	24475	32390	40768	58009	99131.9055993364
ZAF	AFRICA	132.877647872	36577	41505	45398	47939	49278	51281	53236	55590	52936.4108043635
ZMB	AFRICA	3.237720064	8122	9259	10451	11478	12625	15193	17870	22868	27284.1109671848
ZWE	AFRICA	7.39922432	10487	11791	12656	13120	13760	15258	16628	19112	18967.0519829357
PRK	CPA	15.610058214303	20143	21715	22946	23616	24015	24838	25434	24666	22244.4520547945
LBY	AFRICA	34.495012864	4364	4833	5346	5918	6530	7656	8447	9683	9400.2999567474
IRQ	ME	25.85710592	18515	21632	25052	27996	30688	39161	47376	61942	72751.8049437271
ROM	EEFSU	37.052637184	23207	22681	22138	21628	21147	20079	18860	15928	13023.3423019432
JPN	P-OECD	4746.06731264	123537	125472	127034	127897	127758	124489	118252	102511	83978.6346038169
CHN	CPA	1370.036907008	1155145	1220350	1277065	1320509	1359421	1429823	1467496	1418350	1202571.2224957
YUG	EEFSU	8.602799104	4674	4766	5191	6194	6785	10205	10205	14127	22949.9651106747
ISR	ME	115.48721152	6668	7991	9233	10454	11681	12887	14075	15275	16480
o_AFRICA	AFRICA	6.34954843025062	7619	7246	8181	9513	10947	14039	17115	23176	37275.9333863798
o_LA	LA	53.2016429152568	12506	12938	13234	13460	13537	13649	13598	12330	10270.3542353239
o_ME	ME	2.20644812605863	467	526	617	796	885	1040	1161	1333	1293.34553775744
o_W-OECD	W-OECD	10.2163913946753	485	504	518	539	548	562	568	554	495.287885130713
o_SEA1	SEA	0.57358756996379	413	457	491	534	575	652	726	830	819.852912466234
o_SEA2	SEA	43.0503597768341	41144	44279	47036	49408	51736	56020	59526	62852	58855.6637839187
o_SEA3	SEA	19.1742923879137	12659	18256	20737	25067	30389	40993	53252	79423	103116.113540573
ROW	ROW	1018.951000	130888.000	146421.000	158892.000	174348.000	190416.000	220651.000	279692.000	304968.000	353332.000
