CC	2000	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
MRT	1.080830464	1.29292164585085	1.51839119792215	1.75364227148606	2.00085664454773	2.26028278174183	2.53168736185079	2.79371813268104	3.06650072964218	3.35003515273423	3.64432140195717	3.85330910899011	4.06809948904415	4.28869254211927	4.51508826821548	4.74728666733277	4.98528773947115	5.22909148463062	5.47869790281118	5.73410699401283	5.99531875823556
MOZ	3.777704704	4.79357130007691	5.86878541007023	7.0482799216041	8.33555668874276	9.75317770112731	11.2820411565271	12.8623348867937	14.5459177934905	16.3327898766174	18.2229511361743	19.427186380755	20.6518139915857	21.8968339686665	23.1622463119974	24.4480510215783	25.7542480974093	27.0808375394903	28.4278193478214	29.7951935224025	31.1829600632337
MLI	2.422469632	3.09138955455876	3.92137452189109	4.95871354123824	6.10516160823951	7.48546437471654	8.99145459538171	10.6795181045644	12.4998835629841	14.4525509706407	16.5375203275343	18.2867659261896	20.1238437257158	22.048753726113	24.0614959273812	26.1620703295203	28.3504769325303	30.6267157364112	32.9907867411631	35.442689946786	37.9824253532797
MDG	3.877620992	4.91761328837019	6.13420679046413	7.54100067475769	9.08603067488767	10.8089720084505	12.6754792765466	14.651798701956	16.767686697876	19.0231432643066	21.4181684012479	23.2393715074398	25.1318369799937	27.0955648189094	29.1305550241871	31.2368075958267	33.4143225338283	35.6630998381917	37.9831395089171	40.3744415460044	42.8370059494536
MAR	33.3340672	34.6037559488004	36.0440029398094	37.4283745834078	38.7302045977527	39.5511459215214	40.3059718109131	40.2926514101042	40.2434095147106	40.1582461247322	40.0371612401691	39.070336463754	38.1056980016686	37.143245853913	36.1829800204872	35.224900501391	34.2690072966247	33.315300406188	32.3637798300811	31.414445568304	30.4672976208566
LSO	0.859322752	0.929197616748627	0.986183466962884	1.04312489147857	1.10166358219807	1.15395837237816	1.20744775660983	1.25196433358871	1.29717887563145	1.34309138273803	1.38970185490846	1.44929737867632	1.51013762045464	1.57222258024342	1.63555225804268	1.7001266538524	1.76594576767258	1.83300959950324	1.90131814934436	1.97087141719594	2.041669403058
LBR	0.560899968	0.721842133869148	1.02079187848119	1.34040649563017	1.70165757549242	2.16973577222386	2.69054987881579	3.33545905099934	4.04348617689939	4.81463125651594	5.64889428984899	6.2118577697382	6.8002512421325	7.41407470703189	8.05332816443635	8.7180116143459	9.40812505676054	10.1236684916802	10.8646419191051	11.6310453390349	12.4228787514699
KEN	12.705273856	15.0377165403172	17.8145621674433	20.9682780762953	24.2973701015952	27.8079123332169	31.4942276035127	35.3372911369084	39.3549607576331	43.5472364656867	47.9141182610693	49.4647462424177	51.0265718856339	52.5995951907178	54.1838161576695	55.7792347864889	57.3858510771761	59.0036650297311	60.6326766441538	62.2728859204443	63.9242928586026
GNQ	1.34104896	1.44818240488801	1.56564455774356	1.70433739723438	1.82536346207215	1.94506786032685	2.04555367264142	2.13080370968816	2.19641736544824	2.24239463992166	2.26873553310842	2.17885595496346	2.08216159161822	1.97865244307272	1.86832850932694	1.75118979038089	1.62723628623457	1.49646799688797	1.35888492234111	1.21448706259397	1.06327441764656
GNB	0.215455488	0.296415124586446	0.396445929680279	0.528916540943472	0.680092005827872	0.877627069321467	1.09911001358767	1.36908079838451	1.66691047880202	1.99259905484021	2.34614652649908	2.61608983199641	2.90042148643312	3.19914148980922	3.51224984212471	3.83974654337959	4.18163159357387	4.53790499270753	4.90856674078059	5.29361683779303	5.69305528374487
GMB	0.420894592	0.525707537306487	0.638575133007253	0.761017952050276	0.893035994435555	1.03728844964156	1.19138910604827	1.34868419931421	1.51520804402516	1.69096064018111	1.87594198778207	1.98059298315305	2.08744375142315	2.19649429259235	2.30774460666065	2.42119469362807	2.53684455349459	2.65469418626022	2.77474359192496	2.89699277048881	3.02144172195176
GIN	3.112362496	3.57104658871007	4.15042759015331	4.9565525041518	5.81330840330497	6.7826178697571	7.8071423383997	8.90350845902778	10.0562355861053	11.2653237196322	12.5307728596086	13.1986577045059	13.8832918049456	14.5846751609278	15.3028077724525	16.0376896395196	16.7893207621292	17.5577011402812	18.3428307739757	19.1447096632127	19.9633378079921
GHA	4.977585664	6.10478955139158	7.33642823198231	8.69187713978518	10.1613837820622	11.7046542281934	13.3567350851718	14.9647526427181	16.6639662997546	18.4543760562813	20.3359819122981	21.5696281713996	22.8252543838083	24.1028605495244	25.4024466685479	26.7240127408787	28.0675587665168	29.4330847454622	30.820590677715	32.2300765632751	33.6615424021426
